"TestCaseID","Module","Screen","Route","TaskID","Title","Type","Priority","Precondition","Steps","TestData","ExpectedResult"
"TC-030-01","Teacher","Đăng nhập","/auth/login","030","Đăng nhập thành công bằng email","Functional","High","Chưa đăng nhập, tài khoản hợp lệ","1. Truy cập `/auth/login` | 2. Nhập email hợp lệ | 3. Nhập mật khẩu đúng | 4. Nhấn ""Đăng nhập""","identifier=teacher@example.com, password=đúng","Gọi API Device Init → Login → Get Profile thành công, lưu token, redirect `/dashboard`"
"TC-030-02","Teacher","Đăng nhập","/auth/login","030","Đăng nhập thành công bằng số điện thoại","Functional","High","Chưa đăng nhập, tài khoản hợp lệ","1. Truy cập `/auth/login` | 2. Nhập SĐT hợp lệ vào ô identifier | 3. Nhập mật khẩu đúng | 4. Nhấn ""Đăng nhập""","identifier=0901234567, password=đúng","Redirect `/dashboard`"
"TC-030-03","Teacher","Đăng nhập","/auth/login","030","Bỏ trống identifier khi submit","UI-Validation","High","—","1. Để trống ô email/SĐT | 2. Nhập mật khẩu | 3. Nhấn ""Đăng nhập""","identifier=""""","Hiển thị lỗi ""Vui lòng nhập email hoặc số điện thoại"", không gọi API"
"TC-030-04","Teacher","Đăng nhập","/auth/login","030","Bỏ trống mật khẩu khi submit","UI-Validation","High","—","1. Nhập identifier | 2. Để trống mật khẩu | 3. Nhấn ""Đăng nhập""","password=""""","Hiển thị lỗi ""Mật khẩu không được để trống"""
"TC-030-05","Teacher","Đăng nhập","/auth/login","030","Mật khẩu ngắn hơn 6 ký tự","UI-Validation","Medium","—","1. Nhập identifier hợp lệ | 2. Nhập mật khẩu 5 ký tự | 3. Nhấn ""Đăng nhập""","password=""12345""","Hiển thị lỗi ""Mật khẩu tối thiểu 6 ký tự"""
"TC-030-06","Teacher","Đăng nhập","/auth/login","030","Sai mật khẩu","Error-Handling","High","Tài khoản tồn tại","1. Nhập identifier đúng | 2. Nhập mật khẩu sai | 3. Nhấn ""Đăng nhập""","password=sai","API trả 401, Toast ""Email hoặc mật khẩu không đúng"", nút Đăng nhập được enable lại"
"TC-030-07","Teacher","Đăng nhập","/auth/login","030","Tài khoản bị khóa","Error-Handling","High","Tài khoản có trạng thái bị khóa","1. Đăng nhập với tài khoản đã bị khóa","identifier/password đúng nhưng account locked","API trả 403, Toast ""Tài khoản đã bị khóa. Vui lòng liên hệ admin"""
"TC-030-08","Teacher","Đăng nhập","/auth/login","030","Remember me = true lưu token vào localStorage","Functional","Medium","—","1. Tick ""Ghi nhớ đăng nhập"" | 2. Đăng nhập thành công","rememberMe=true","`access_token`, `refresh_token` được lưu trong `localStorage`"
"TC-030-09","Teacher","Đăng nhập","/auth/login","030","Remember me = false lưu token vào sessionStorage","Functional","Medium","—","1. Không tick ""Ghi nhớ đăng nhập"" | 2. Đăng nhập thành công","rememberMe=false","Token được lưu trong `sessionStorage` thay vì `localStorage`"
"TC-030-10","Teacher","Đăng nhập","/auth/login","030","Đã đăng nhập truy cập lại trang login","Functional","Medium","Đã đăng nhập","1. Truy cập `/auth/login` khi đã có session hợp lệ","—","Tự động redirect về `/dashboard`, không hiển thị form login"
"TC-030-11","Teacher","Đăng nhập","/auth/login","030","Toggle hiển thị/ẩn mật khẩu","UI-Validation","Low","—","1. Nhập mật khẩu | 2. Nhấn icon con mắt 👁","—","`type` input đổi giữa `password` và `text`, icon đổi trạng thái tương ứng"
"TC-030-12","Teacher","Đăng nhập","/auth/login","030","Submit form bằng phím Enter","UI-Validation","Low","Form đã điền hợp lệ","1. Điền đầy đủ identifier + password | 2. Nhấn Enter trong ô input","—","Form được submit giống như bấm nút ""Đăng nhập"""
"TC-030-13","Teacher","Đăng nhập","/auth/login","030","Điều hướng ""Quên mật khẩu?""","Functional","Medium","—","1. Nhấn link ""Quên mật khẩu?""","—","Chuyển hướng đến `/auth/forgot-password`"
"TC-030-14","Teacher","Đăng nhập","/auth/login","030","Điều hướng ""Đăng ký ngay""","Functional","Medium","—","1. Nhấn link ""Đăng ký ngay""","—","Chuyển hướng đến `/auth/register`"
"TC-030-15","Teacher","Đăng nhập","/auth/login","030","Device Init thất bại (mạng không ổn định)","Error-Handling","Medium","Giả lập lỗi mạng khi gọi API device init","1. Ngắt/giả lập lỗi mạng | 2. Nhấn ""Đăng nhập""","—","Toast ""Không thể kết nối. Vui lòng thử lại"", KHÔNG gọi tiếp API Login"
"TC-030-16","Teacher","Đăng nhập","/auth/login","030","Lỗi server 5xx khi gọi API Login","Error-Handling","Medium","Giả lập lỗi server","1. Đăng nhập trong lúc backend trả lỗi 5xx","—","Toast ""Lỗi kết nối. Vui lòng thử lại"", nút Đăng nhập được enable lại"
"TC-030-17","Teacher","Đăng nhập","/auth/login","030","Timeout khi gọi API","Error-Handling","Low","Giả lập request timeout","1. Đăng nhập trong điều kiện mạng rất chậm/timeout","—","Toast ""Yêu cầu hết thời gian. Vui lòng thử lại"""
"TC-030-18","Teacher","Đăng nhập","/auth/login","030","Trạng thái loading khi đang gọi API","UI-Validation","Medium","—","1. Nhấn ""Đăng nhập"" với dữ liệu hợp lệ | 2. Quan sát UI trong lúc chờ phản hồi","—","Nút hiển thị spinner + disabled, toàn bộ input bị disabled, không cho submit lại"
"TC-030-19","Teacher","Đăng nhập","/auth/login","030","Đăng nhập qua Google","Functional","Low","Có tài khoản Google liên kết hoặc hợp lệ","1. Nhấn nút ""Google""","—","Redirect sang luồng OAuth của Google"
"TC-030-20","Teacher","Đăng nhập","/auth/login","030","Đăng nhập qua Microsoft","Functional","Low","Có tài khoản Microsoft liên kết hoặc hợp lệ","1. Nhấn nút ""Microsoft""","—","Redirect sang luồng OAuth của Microsoft"
"TC-030-21","Teacher","Đăng nhập","/auth/login","030","Giao diện responsive trên mobile","UI-Validation","Low","Viewport < 768px","1. Thu nhỏ trình duyệt xuống kích thước mobile | 2. Quan sát layout","—","Ẩn panel trái marketing, form hiển thị full-width, padding 16px"
"TC-030-22","Teacher","Đăng nhập","/auth/login","030","Token hết hạn khi đang dùng app","Edge-Case","Medium","Đã đăng nhập, token hết hạn","1. Chờ/giả lập access_token hết hạn | 2. Thực hiện 1 thao tác cần gọi API","—","Hệ thống redirect người dùng về `/auth/login`"
"TC-031-01","Teacher","Trang chủ (Dashboard)","/dashboard","031","Load dashboard thành công","Functional","High","Đã đăng nhập, GV có tên hiển thị","1. Truy cập `/dashboard` | 2. Quan sát DashboardHeader","GET /api/teacher/dashboard/summary trả 200","Hiển thị ""Xin chào, {tên giáo viên}"" và subtitle ""Đây là nhật ký ngày học hôm nay, hãy quan sát những điều thú vị!"""
"TC-031-02","Teacher","Trang chủ (Dashboard)","/dashboard","031","Hiển thị đủ 4 StatisticCard","Functional","High","API summary trả đủ field stats","1. Truy cập `/dashboard` | 2. Kiểm tra 4 card: Phụ vào, Lớp đang đợi, Buổi dạy hôm nay, Tỷ lệ hoàn thành","stats.active_classes=12, stats.lessons_today=3, stats.completion_rate=85","4 card hiển thị đúng label và value tương ứng dữ liệu API"
"TC-031-03","Teacher","Trang chủ (Dashboard)","/dashboard","031","ScheduleWidget có lịch hôm nay","Functional","High","schedule_today có dữ liệu","1. Truy cập `/dashboard` | 2. Quan sát widget Lịch dạy hôm nay","schedule_today gồm 1 item Starters 2A 08:00-09:30","Hiển thị tối đa 5 buổi học với thời gian, tên lớp + cấp độ, phòng, trạng thái"
"TC-031-04","Teacher","Trang chủ (Dashboard)","/dashboard","031","ScheduleWidget không có lịch hôm nay","Edge-Case","Medium","schedule_today rỗng","1. Truy cập `/dashboard` khi không có buổi dạy nào hôm nay","schedule_today: []","Hiển thị thông báo ""Không có lịch dạy hôm nay"""
"TC-031-05","Teacher","Trang chủ (Dashboard)","/dashboard","031","HomeworkWidget có bài chờ chấm","Functional","High","homework_pending có dữ liệu","1. Truy cập `/dashboard` | 2. Quan sát widget Bài tập cần chấm","homework_pending gồm Unit 01 - Homework, pending_count=5","Hiển thị tên bài tập, lớp, số bài cần chấm (tối đa 5 mục)"
"TC-031-06","Teacher","Trang chủ (Dashboard)","/dashboard","031","HomeworkWidget không có bài chờ chấm","Edge-Case","Medium","homework_pending rỗng","1. Truy cập `/dashboard` khi không còn bài chờ chấm","homework_pending: []","Widget hiển thị trạng thái rỗng, không lỗi"
"TC-031-07","Teacher","Trang chủ (Dashboard)","/dashboard","031","NotificationWidget hiển thị thông báo mới","Functional","High","API notifications trả dữ liệu","1. Truy cập `/dashboard` | 2. Quan sát widget Thông báo mới","notifications_unread=3","Hiển thị tối đa 5 thông báo với icon loại, tiêu đề, thời gian và badge số chưa đọc = 3"
"TC-031-08","Teacher","Trang chủ (Dashboard)","/dashboard","031","AttendanceWidget hiển thị điểm danh","Functional","Medium","Có lớp học hôm nay","1. Truy cập `/dashboard` | 2. Quan sát widget Điểm danh","Avatar học viên lớp hôm nay","Hiển thị avatar học viên và thống kê nhanh Có mặt / Vắng / Muộn"
